from,to,sim,plot_order,label
V2,NA,18,11,2
V3,V5,18,11,3
V4,NA,18,11,4
V5,V3,18,11,5
V6,NA,18,11,6
V7,V16,18,11,7
V8,V9,18,11,8
V9,V8,18,11,9
V1,NA,19,1,1
V10,V11,19,1,10
V10,V14,19,1,10
V11,V10,19,1,11
V11,V14,19,1,11
V12,V3,19,1,12
V12,V6,19,1,12
V12,V13,19,1,12
V12,V16,19,1,12
V13,V12,19,1,13
V13,V16,19,1,13
V14,V10,19,1,14
V14,V11,19,1,14
V15,V14,19,1,15
V16,V12,19,1,16
V16,V13,19,1,16
V2,NA,19,1,2
V3,V5,19,1,3
V4,NA,19,1,4
V5,NA,19,1,5
V6,V12,19,1,6
V7,V10,19,1,7
V8,NA,19,1,8
V9,NA,19,1,9
V1,V3,2,2,1
V10,V11,2,2,10
V11,V10,2,2,11
V12,V3,2,2,12
V13,NA,2,2,13
V14,NA,2,2,14
V15,V3,2,2,15
V16,NA,2,2,16
V2,NA,2,2,2
V3,V6,2,2,3
V3,V12,2,2,3
V3,V15,2,2,3
V4,V9,2,2,4
V5,NA,2,2,5
V6,V3,2,2,6
V6,V12,2,2,6
V6,V13,2,2,6
V7,V14,2,2,7
V8,V9,2,2,8
V9,V4,2,2,9
V9,V8,2,2,9
V1,NA,3,6,1
V10,V11,3,6,10
V10,V14,3,6,10
V11,V10,3,6,11
V12,V3,3,6,12
V12,V5,3,6,12
V12,V6,3,6,12
V12,V13,3,6,12
V13,V2,3,6,13
V13,V6,3,6,13
V13,V12,3,6,13
V14,V10,3,6,14
V15,NA,3,6,15
V16,NA,3,6,16
V2,V5,3,6,2
V2,V13,3,6,2
V3,V2,3,6,3
V3,V4,3,6,3
V3,V5,3,6,3
V3,V6,3,6,3
V3,V12,3,6,3
V4,V5,3,6,4
V5,V2,3,6,5
V5,V3,3,6,5
V5,V4,3,6,5
V5,V6,3,6,5
V5,V12,3,6,5
V6,V2,3,6,6
V6,V3,3,6,6
V6,V5,3,6,6
V6,V12,3,6,6
V6,V13,3,6,6
V7,NA,3,6,7
V8,NA,3,6,8
V9,V15,3,6,9
V1,V13,4,10,1
V10,V11,4,10,10
V10,V12,4,10,10
V10,V14,4,10,10
V11,V3,4,10,11
V11,V10,4,10,11
V11,V14,4,10,11
V12,V3,4,10,12
V12,V13,4,10,12
V13,V2,4,10,13
V13,V12,4,10,13
V14,V3,4,10,14
V14,V10,4,10,14
V14,V11,4,10,14
V14,V12,4,10,14
V15,NA,4,10,15
V16,NA,4,10,16
V2,V3,4,10,2
V2,V13,4,10,2
V3,V2,4,10,3
V3,V5,4,10,3
V3,V10,4,10,3
V3,V11,4,10,3
V3,V12,4,10,3
V4,V8,4,10,4
V5,V2,4,10,5
V5,V3,4,10,5
V6,V3,4,10,6
V7,NA,4,10,7
V8,NA,4,10,8
V9,NA,4,10,9
V1,NA,5,20,1
V10,NA,5,20,10
V11,NA,5,20,11
V12,V6,5,20,12
V12,V13,5,20,12
V12,V16,5,20,12
V13,V6,5,20,13
V13,V12,5,20,13
V14,V4,5,20,14
V15,V16,5,20,15
V16,V12,5,20,16
V16,V15,5,20,16
V2,V5,5,20,2
V3,NA,5,20,3
V4,NA,5,20,4
V5,V2,5,20,5
V6,V12,5,20,6
V6,V13,5,20,6
V7,V10,5,20,7
V8,V9,5,20,8
V9,V8,5,20,9
V1,NA,6,19,1
V10,V7,6,19,10
V10,V11,6,19,10
V11,V10,6,19,11
V11,V13,6,19,11
V11,V14,6,19,11
V12,NA,6,19,12
V13,V11,6,19,13
V13,V12,6,19,13
V14,V2,6,19,14
V15,NA,6,19,15
V16,NA,6,19,16
V2,NA,6,19,2
V3,NA,6,19,3
V4,NA,6,19,4
V5,NA,6,19,5
V6,NA,6,19,6
V7,V10,6,19,7
V8,V1,6,19,8
V9,NA,6,19,9
V1,NA,7,12,1
V10,NA,7,12,10
V11,V7,7,12,11
V12,V3,7,12,12
V13,NA,7,12,13
V14,V11,7,12,14
V15,NA,7,12,15
V16,V9,7,12,16
V2,V3,7,12,2
V3,V2,7,12,3
V3,V12,7,12,3
V4,NA,7,12,4
V5,NA,7,12,5
V6,NA,7,12,6
V7,NA,7,12,7
V8,NA,7,12,8
V9,V16,7,12,9
V1,NA,8,4,1
V10,V14,8,4,10
V11,V14,8,4,11
V12,NA,8,4,12
V13,NA,8,4,13
V14,V10,8,4,14
V14,V11,8,4,14
V15,V3,8,4,15
V15,V9,8,4,15
V16,NA,8,4,16
V2,V3,8,4,2
V3,V6,8,4,3
V3,V15,8,4,3
V4,NA,8,4,4
V5,V2,8,4,5
V6,V3,8,4,6
V6,V12,8,4,6
V6,V15,8,4,6
V7,NA,8,4,7
V8,NA,8,4,8
V9,V15,8,4,9
V1,NA,9,13,1
V10,V2,9,13,10
V10,V7,9,13,10
V10,V11,9,13,10
V10,V14,9,13,10
V11,NA,9,13,11
V12,NA,9,13,12
V13,NA,9,13,13
V14,V3,9,13,14
V14,V10,9,13,14
V14,V11,9,13,14
V15,NA,9,13,15
V16,NA,9,13,16
V2,V10,9,13,2
V2,V13,9,13,2
V3,V2,9,13,3
V3,V15,9,13,3
V4,NA,9,13,4
V5,V10,9,13,5
V6,V12,9,13,6
V7,V10,9,13,7
V8,NA,9,13,8
V9,NA,9,13,9
V1,NA,dat,18,1
V2,V12,dat,18,2
V3,NA,dat,18,3
V4,NA,dat,18,4
V5,V3,dat,18,5
V5,V9,dat,18,5
V6,V5,dat,18,6
V6,V8,dat,18,6
V6,V9,dat,18,6
V6,V13,dat,18,6
V7,NA,dat,18,7
V8,V9,dat,18,8
V9,V5,dat,18,9
V9,V8,dat,18,9
V10,V11,dat,18,10
V10,V14,dat,18,10
V11,V10,dat,18,11
V12,V13,dat,18,12
V13,V12,dat,18,13
V14,V10,dat,18,14
V14,V11,dat,18,14
V15,NA,dat,18,15
V16,V9,dat,18,16
