from,to,sim,plot_order,label
V12,V6,5,7,12
V12,V13,5,7,12
V12,V16,5,7,12
V13,V2,5,7,13
V13,V12,5,7,13
V14,V5,5,7,14
V15,V11,5,7,15
V16,V11,5,7,16
V16,V12,5,7,16
V2,V3,5,7,2
V2,V5,5,7,2
V2,V11,5,7,2
V2,V13,5,7,2
V3,V2,5,7,3
V3,V6,5,7,3
V4,V5,5,7,4
V5,V2,5,7,5
V5,V4,5,7,5
V5,V14,5,7,5
V6,V3,5,7,6
V6,V12,5,7,6
V7,NA,5,7,7
V8,NA,5,7,8
V9,NA,5,7,9
V1,V2,6,3,1
V10,V7,6,3,10
V11,V1,6,3,11
V11,V14,6,3,11
V12,V6,6,3,12
V13,V14,6,3,13
V14,V10,6,3,14
V14,V11,6,3,14
V15,V7,6,3,15
V16,V7,6,3,16
V2,NA,6,3,2
V3,V15,6,3,3
V4,V5,6,3,4
V5,V4,6,3,5
V6,V8,6,3,6
V6,V12,6,3,6
V7,V10,6,3,7
V7,V15,6,3,7
V8,V6,6,3,8
V8,V9,6,3,8
V9,V8,6,3,9
V1,NA,7,5,1
V10,V11,7,5,10
V11,V8,7,5,11
V11,V10,7,5,11
V12,V6,7,5,12
V13,V1,7,5,13
V13,V6,7,5,13
V14,NA,7,5,14
V15,NA,7,5,15
V16,NA,7,5,16
V2,V3,7,5,2
V2,V5,7,5,2
V3,V2,7,5,3
V3,V5,7,5,3
V4,NA,7,5,4
V5,V2,7,5,5
V5,V3,7,5,5
V6,V10,7,5,6
V6,V12,7,5,6
V6,V13,7,5,6
V7,V6,7,5,7
V8,V11,7,5,8
V9,V14,7,5,9
V1,NA,8,12,1
V10,V14,8,12,10
V11,V6,8,12,11
V12,V6,8,12,12
V13,V12,8,12,13
V14,V10,8,12,14
V15,NA,8,12,15
V16,NA,8,12,16
V2,NA,8,12,2
V3,V2,8,12,3
V4,NA,8,12,4
V5,V4,8,12,5
V6,V11,8,12,6
V7,NA,8,12,7
V8,NA,8,12,8
V9,NA,8,12,9
V1,NA,9,1,1
V10,V11,9,1,10
V11,V8,9,1,11
V12,V6,9,1,12
V12,V13,9,1,12
V13,V6,9,1,13
V13,V12,9,1,13
V14,NA,9,1,14
V15,NA,9,1,15
V16,V4,9,1,16
V2,V9,9,1,2
V3,NA,9,1,3
V4,NA,9,1,4
V5,NA,9,1,5
V6,V12,9,1,6
V7,NA,9,1,7
V8,V9,9,1,8
V9,V2,9,1,9
V9,V8,9,1,9
V1,NA,dat,6,1
V2,V12,dat,6,2
V3,NA,dat,6,3
V4,NA,dat,6,4
V5,V3,dat,6,5
V5,V9,dat,6,5
V6,V5,dat,6,6
V6,V8,dat,6,6
V6,V9,dat,6,6
V6,V13,dat,6,6
V7,NA,dat,6,7
V8,V9,dat,6,8
V9,V5,dat,6,9
V9,V8,dat,6,9
V10,V11,dat,6,10
V10,V14,dat,6,10
V11,V10,dat,6,11
V12,V13,dat,6,12
V13,V12,dat,6,13
V14,V10,dat,6,14
V14,V11,dat,6,14
V15,NA,dat,6,15
V16,V9,dat,6,16
