from,to,sim,plot_order,label
V9,NA,8,4,9
V1,NA,9,13,1
V10,V8,9,13,10
V10,V11,9,13,10
V10,V14,9,13,10
V11,V10,9,13,11
V11,V14,9,13,11
V12,V3,9,13,12
V12,V5,9,13,12
V12,V13,9,13,12
V13,V12,9,13,13
V14,V8,9,13,14
V14,V10,9,13,14
V14,V11,9,13,14
V15,NA,9,13,15
V16,NA,9,13,16
V2,NA,9,13,2
V3,V5,9,13,3
V3,V6,9,13,3
V3,V12,9,13,3
V4,V7,9,13,4
V5,V3,9,13,5
V5,V12,9,13,5
V6,V3,9,13,6
V6,V9,9,13,6
V6,V12,9,13,6
V7,V4,9,13,7
V8,V9,9,13,8
V9,V8,9,13,9
V1,NA,dat,18,1
V2,V12,dat,18,2
V3,NA,dat,18,3
V4,NA,dat,18,4
V5,V3,dat,18,5
V5,V9,dat,18,5
V6,V5,dat,18,6
V6,V8,dat,18,6
V6,V9,dat,18,6
V6,V13,dat,18,6
V7,NA,dat,18,7
V8,V9,dat,18,8
V9,V5,dat,18,9
V9,V8,dat,18,9
V10,V11,dat,18,10
V10,V14,dat,18,10
V11,V10,dat,18,11
V12,V13,dat,18,12
V13,V12,dat,18,13
V14,V10,dat,18,14
V14,V11,dat,18,14
V15,NA,dat,18,15
V16,V9,dat,18,16
