from,to,dep.var.id,wave,sim
11,10,1,2,4
13,NA,NA,2,4
14,10,1,2,4
15,14,1,2,4
16,9,1,2,4
2,3,1,1,5
2,4,1,1,5
3,2,1,1,5
3,5,1,1,5
4,2,1,1,5
5,3,1,1,5
6,12,1,1,5
7,11,1,1,5
7,13,1,1,5
8,10,1,1,5
9,8,1,1,5
10,8,1,1,5
11,7,1,1,5
11,8,1,1,5
12,6,1,1,5
13,7,1,1,5
13,8,1,1,5
14,15,1,1,5
15,NA,NA,1,5
1,3,1,2,5
2,12,1,2,5
3,NA,NA,2,5
5,9,1,2,5
6,9,1,2,5
9,5,1,2,5
9,16,1,2,5
10,14,1,2,5
10,16,1,2,5
12,13,1,2,5
13,12,1,2,5
14,10,1,2,5
16,NA,NA,2,5
1,6,1,1,6
2,3,1,1,6
2,4,1,1,6
3,2,1,1,6
3,12,1,1,6
4,2,1,1,6
4,5,1,1,6
5,4,1,1,6
6,NA,NA,1,6
7,10,1,1,6
8,10,1,1,6
9,16,1,1,6
10,7,1,1,6
12,NA,NA,1,6
16,9,1,1,6
2,12,1,2,6
3,5,1,2,6
5,3,1,2,6
5,6,1,2,6
5,9,1,2,6
6,5,1,2,6
6,8,1,2,6
6,9,1,2,6
8,6,1,2,6
8,9,1,2,6
9,6,1,2,6
9,8,1,2,6
10,9,1,2,6
10,14,1,2,6
11,14,1,2,6
12,2,1,2,6
12,13,1,2,6
13,12,1,2,6
14,10,1,2,6
14,11,1,2,6
15,8,1,2,6
1,14,1,1,7
2,11,1,1,7
2,12,1,1,7
3,2,1,1,7
5,8,1,1,7
7,10,1,1,7
8,9,1,1,7
9,NA,NA,1,7
10,11,1,1,7
11,2,1,1,7
12,2,1,1,7
12,13,1,1,7
13,1,1,1,7
13,12,1,1,7
14,1,1,1,7
16,10,1,1,7
2,7,1,2,7
3,5,1,2,7
5,3,1,2,7
5,9,1,2,7
5,14,1,2,7
6,5,1,2,7
6,8,1,2,7
6,9,1,2,7
7,2,1,2,7
8,6,1,2,7
8,9,1,2,7
8,10,1,2,7
9,5,1,2,7
9,8,1,2,7
10,11,1,2,7
11,10,1,2,7
12,13,1,2,7
13,NA,NA,2,7
14,NA,NA,2,7
2,3,1,1,8
3,2,1,1,8
4,11,1,1,8
5,3,1,1,8
5,14,1,1,8
6,NA,NA,1,8
7,8,1,1,8
8,11,1,1,8
10,8,1,1,8
10,11,1,1,8
11,8,1,1,8
11,10,1,1,8
11,14,1,1,8
12,6,1,1,8
14,5,1,1,8
14,11,1,1,8
4,NA,NA,2,8
5,9,1,2,8
6,8,1,2,8
6,13,1,2,8
8,9,1,2,8
9,4,1,2,8
9,5,1,2,8
9,8,1,2,8
10,11,1,2,8
11,10,1,2,8
11,14,1,2,8
12,13,1,2,8
13,NA,NA,2,8
14,NA,NA,2,8
16,9,1,2,8
1,13,1,1,9
2,3,1,1,9
3,NA,NA,1,9
5,2,1,1,9
6,12,1,1,9
6,13,1,1,9
7,2,1,1,9
9,12,1,1,9
10,11,1,1,9
11,10,1,1,9
12,6,1,1,9
13,6,1,1,9
13,12,1,1,9
3,15,1,2,9
4,6,1,2,9
5,NA,NA,2,9
6,5,1,2,9
6,8,1,2,9
6,9,1,2,9
6,13,1,2,9
8,9,1,2,9
9,16,1,2,9
10,11,1,2,9
10,14,1,2,9
11,10,1,2,9
11,14,1,2,9
13,NA,NA,2,9
14,10,1,2,9
15,3,1,2,9
16,9,1,2,9
2,10,1,1,10
3,14,1,1,10
3,15,1,1,10
4,8,1,1,10
5,15,1,1,10
6,13,1,1,10
8,9,1,1,10
9,8,1,1,10
10,11,1,1,10
11,10,1,1,10
12,13,1,1,10
13,6,1,1,10
13,12,1,1,10
13,14,1,1,10
14,13,1,1,10
15,3,1,1,10
15,12,1,1,10
4,15,1,2,10
5,9,1,2,10
5,12,1,2,10
6,5,1,2,10
6,8,1,2,10
6,9,1,2,10
6,13,1,2,10
8,6,1,2,10
8,9,1,2,10
9,5,1,2,10
9,8,1,2,10
10,11,1,2,10
11,10,1,2,10
12,5,1,2,10
13,6,1,2,10
13,12,1,2,10
14,11,1,2,10
15,NA,NA,2,10
1,NA,NA,1,11
3,4,1,1,11
4,3,1,1,11
4,5,1,1,11
5,4,1,1,11
6,12,1,1,11
7,11,1,1,11
7,12,1,1,11
8,10,1,1,11
8,11,1,1,11
10,8,1,1,11
10,11,1,1,11
11,7,1,1,11
11,10,1,1,11
12,6,1,1,11
12,14,1,1,11
14,NA,NA,1,11
16,1,1,1,11
2,12,1,2,11
5,NA,NA,2,11
6,5,1,2,11
6,8,1,2,11
6,9,1,2,11
8,9,1,2,11
8,10,1,2,11
9,5,1,2,11
9,6,1,2,11
9,8,1,2,11
10,11,1,2,11
11,13,1,2,11
12,13,1,2,11
13,11,1,2,11
13,12,1,2,11
2,NA,NA,1,12
3,10,1,1,12
6,12,1,1,12
10,11,1,1,12
11,10,1,1,12
12,6,1,1,12
15,11,1,1,12
16,2,1,1,12
2,14,1,2,12
4,16,1,2,12
5,9,1,2,12
6,5,1,2,12
6,8,1,2,12
6,13,1,2,12
8,9,1,2,12
9,8,1,2,12
10,NA,NA,2,12
11,NA,NA,2,12
12,13,1,2,12
13,6,1,2,12
14,11,1,2,12
15,10,1,2,12
16,15,1,2,12
2,3,1,1,13
3,2,1,1,13
6,NA,NA,1,13
11,14,1,1,13
12,6,1,1,13
14,11,1,1,13
2,12,1,2,13
5,6,1,2,13
5,9,1,2,13
6,5,1,2,13
6,8,1,2,13
6,13,1,2,13
8,6,1,2,13
8,9,1,2,13
9,5,1,2,13
9,8,1,2,13
9,16,1,2,13
10,11,1,2,13
11,10,1,2,13
11,14,1,2,13
12,2,1,2,13
12,13,1,2,13
13,6,1,2,13
14,10,1,2,13
14,11,1,2,13
16,9,1,2,13
2,3,1,1,14
3,15,1,1,14
4,12,1,1,14
4,13,1,1,14
6,9,1,1,14
6,12,1,1,14
7,11,1,1,14
8,9,1,1,14
9,8,1,1,14
10,7,1,1,14
10,11,1,1,14
11,7,1,1,14
11,10,1,1,14
12,4,1,1,14
13,4,1,1,14
15,3,1,1,14
3,NA,NA,2,14
5,3,1,2,14
5,9,1,2,14
6,5,1,2,14
6,8,1,2,14
6,9,1,2,14
6,13,1,2,14
8,NA,NA,2,14
9,5,1,2,14
10,11,1,2,14
11,10,1,2,14
12,13,1,2,14
13,6,1,2,14
13,12,1,2,14
14,10,1,2,14
14,11,1,2,14
2,12,1,1,15
3,5,1,1,15
3,12,1,1,15
5,3,1,1,15
8,11,1,1,15
10,2,1,1,15
11,8,1,1,15
11,14,1,1,15
12,2,1,1,15
12,3,1,1,15
14,11,1,1,15
15,NA,NA,1,15
16,15,1,1,15
1,NA,NA,2,15
2,12,1,2,15
3,4,1,2,15
3,5,1,2,15
4,NA,NA,2,15
5,3,1,2,15
5,9,1,2,15
6,8,1,2,15
7,16,1,2,15
8,6,1,2,15
9,5,1,2,15
10,11,1,2,15
10,14,1,2,15
11,10,1,2,15
12,2,1,2,15
14,10,1,2,15
16,1,1,2,15
16,7,1,2,15
1,NA,NA,1,16
2,13,1,1,16
3,5,1,1,16
4,14,1,1,16
5,3,1,1,16
5,14,1,1,16
7,10,1,1,16
8,10,1,1,16
10,7,1,1,16
10,8,1,1,16
10,11,1,1,16
11,10,1,1,16
12,13,1,1,16
13,2,1,1,16
13,12,1,1,16
14,5,1,1,16
14,12,1,1,16
15,11,1,1,16
16,1,1,1,16
2,12,1,2,16
3,NA,NA,2,16
5,NA,NA,2,16
6,8,1,2,16
6,13,1,2,16
8,3,1,2,16
8,6,1,2,16
10,11,1,2,16
10,14,1,2,16
11,5,1,2,16
11,10,1,2,16
12,13,1,2,16
13,6,1,2,16
13,12,1,2,16
14,10,1,2,16
16,10,1,2,16
1,4,1,1,17
1,9,1,1,17
2,NA,NA,1,17
4,1,1,1,17
4,5,1,1,17
4,15,1,1,17
5,4,1,1,17
5,16,1,1,17
6,2,1,1,17
6,12,1,1,17
7,8,1,1,17
8,12,1,1,17
9,1,1,1,17
9,15,1,1,17
10,14,1,1,17
11,10,1,1,17
11,12,1,1,17
11,14,1,1,17
12,6,1,1,17
12,8,1,1,17
12,13,1,1,17
13,NA,NA,1,17
14,10,1,1,17
14,11,1,1,17
15,4,1,1,17
15,9,1,1,17
16,5,1,1,17
1,15,1,2,17
5,NA,NA,2,17
6,5,1,2,17
6,8,1,2,17
6,9,1,2,17
8,11,1,2,17
9,5,1,2,17
10,11,1,2,17
10,14,1,2,17
11,14,1,2,17
12,13,1,2,17
13,12,1,2,17
14,11,1,2,17
15,NA,NA,2,17
1,11,1,1,18
2,NA,NA,1,18
3,5,1,1,18
4,5,1,1,18
5,2,1,1,18
5,3,1,1,18
5,4,1,1,18
6,13,1,1,18
7,10,1,1,18
8,9,1,1,18
9,8,1,1,18
9,14,1,1,18
10,7,1,1,18
10,11,1,1,18
10,14,1,1,18
11,1,1,1,18
11,10,1,1,18
12,6,1,1,18
13,6,1,1,18
14,9,1,1,18
14,10,1,1,18
15,6,1,1,18
15,16,1,1,18
16,15,1,1,18
5,9,1,2,18
6,8,1,2,18
6,9,1,2,18
6,13,1,2,18
8,6,1,2,18
8,9,1,2,18
9,5,1,2,18
9,8,1,2,18
10,14,1,2,18
11,10,1,2,18
12,13,1,2,18
12,16,1,2,18
13,6,1,2,18
14,10,1,2,18
14,16,1,2,18
15,13,1,2,18
16,12,1,2,18
16,14,1,2,18
6,15,1,1,19
10,11,1,1,19
11,10,1,1,19
15,6,1,1,19
1,9,1,2,19
2,12,1,2,19
3,NA,NA,2,19
5,3,1,2,19
5,6,1,2,19
5,9,1,2,19
6,5,1,2,19
6,8,1,2,19
6,9,1,2,19
8,6,1,2,19
9,5,1,2,19
9,16,1,2,19
10,11,1,2,19
10,14,1,2,19
11,10,1,2,19
12,2,1,2,19
12,13,1,2,19
13,12,1,2,19
14,10,1,2,19
14,11,1,2,19
16,9,1,2,19
2,13,1,1,20
3,NA,NA,1,20
4,5,1,1,20
5,4,1,1,20
6,3,1,1,20
6,12,1,1,20
7,10,1,1,20
8,9,1,1,20
8,10,1,1,20
9,8,1,1,20
10,8,1,1,20
10,11,1,1,20
11,10,1,1,20
11,14,1,1,20
12,6,1,1,20
12,13,1,1,20
13,2,1,1,20
13,12,1,1,20
14,NA,NA,1,20
16,11,1,1,20
2,NA,NA,2,20
3,13,1,2,20
5,3,1,2,20
5,9,1,2,20
6,8,1,2,20
6,9,1,2,20
8,6,1,2,20
9,6,1,2,20
10,NA,NA,2,20
11,2,1,2,20
11,14,1,2,20
12,13,1,2,20
13,12,1,2,20
14,10,1,2,20
14,11,1,2,20
2,14,1,1,21
4,5,1,1,21
5,4,1,1,21
6,12,1,1,21
6,13,1,1,21
7,11,1,1,21
8,10,1,1,21
10,8,1,1,21
11,7,1,1,21
11,10,1,1,21
11,14,1,1,21
12,6,1,1,21
13,6,1,1,21
14,2,1,1,21
14,11,1,1,21
15,10,1,1,21
16,11,1,1,21
1,NA,NA,2,21
3,7,1,2,21
4,1,1,2,21
5,9,1,2,21
6,5,1,2,21
6,9,1,2,21
6,13,1,2,21
7,3,1,2,21
8,9,1,2,21
9,5,1,2,21
10,11,1,2,21
10,14,1,2,21
11,10,1,2,21
11,14,1,2,21
12,13,1,2,21
13,6,1,2,21
13,12,1,2,21
14,10,1,2,21
14,11,1,2,21
1,11,1,1,22
2,3,1,1,22
2,7,1,1,22
3,NA,NA,1,22
6,NA,NA,1,22
7,2,1,1,22
8,9,1,1,22
9,8,1,1,22
10,11,1,1,22
11,1,1,1,22
12,6,1,1,22
12,13,1,1,22
12,15,1,1,22
13,NA,NA,1,22
14,2,1,1,22
15,12,1,1,22
1,11,1,2,22
2,NA,NA,2,22
5,9,1,2,22
6,9,1,2,22
8,9,1,2,22
8,13,1,2,22
9,5,1,2,22
9,6,1,2,22
9,8,1,2,22
10,14,1,2,22
11,12,1,2,22
12,13,1,2,22
13,12,1,2,22
14,2,1,2,22
14,10,1,2,22
15,9,1,2,22
2,3,1,1,23
2,13,1,1,23
3,2,1,1,23
4,5,1,1,23
5,4,1,1,23
5,15,1,1,23
6,12,1,1,23
8,9,1,1,23
9,8,1,1,23
10,11,1,1,23
10,14,1,1,23
11,14,1,1,23
12,6,1,1,23
12,13,1,1,23
13,2,1,1,23
13,12,1,1,23
14,10,1,1,23
15,NA,NA,1,23
2,NA,NA,2,23
4,5,1,2,23
5,4,1,2,23
6,9,1,2,23
7,2,1,2,23
8,9,1,2,23
9,8,1,2,23
10,14,1,2,23
11,10,1,2,23
12,13,1,2,23
13,9,1,2,23
13,12,1,2,23
14,10,1,2,23
16,9,1,2,23
2,NA,NA,1,24
3,2,1,1,24
4,5,1,1,24
5,4,1,1,24
6,12,1,1,24
7,10,1,1,24
8,13,1,1,24
10,NA,NA,1,24
12,6,1,1,24
13,NA,NA,1,24
2,NA,NA,2,24
3,5,1,2,24
3,9,1,2,24
4,NA,NA,2,24
5,3,1,2,24
6,5,1,2,24
6,9,1,2,24
7,16,1,2,24
8,9,1,2,24
9,3,1,2,24
9,8,1,2,24
9,16,1,2,24
10,16,1,2,24
11,2,1,2,24
12,13,1,2,24
13,4,1,2,24
13,12,1,2,24
16,9,1,2,24
1,16,1,1,25
2,13,1,1,25
3,5,1,1,25
5,3,1,1,25
6,12,1,1,25
6,13,1,1,25
8,9,1,1,25
8,15,1,1,25
9,NA,NA,1,25
10,5,1,1,25
11,14,1,1,25
12,6,1,1,25
12,13,1,1,25
13,12,1,1,25
14,NA,NA,1,25
15,NA,NA,1,25
16,1,1,1,25
1,4,1,2,25
2,12,1,2,25
3,5,1,2,25
4,NA,NA,2,25
5,3,1,2,25
5,9,1,2,25
6,13,1,2,25
8,9,1,2,25
9,5,1,2,25
9,8,1,2,25
10,14,1,2,25
11,10,1,2,25
11,16,1,2,25
12,2,1,2,25
12,13,1,2,25
13,6,1,2,25
13,12,1,2,25
13,14,1,2,25
14,10,1,2,25
14,13,1,2,25
16,11,1,2,25
1,4,1,1,26
2,5,1,1,26
3,12,1,1,26
4,1,1,1,26
5,2,1,1,26
6,12,1,1,26
7,10,1,1,26
8,9,1,1,26
8,10,1,1,26
8,11,1,1,26
9,7,1,1,26
9,8,1,1,26
10,7,1,1,26
10,8,1,1,26
10,11,1,1,26
11,10,1,1,26
12,3,1,1,26
12,6,1,1,26
12,13,1,1,26
13,12,1,1,26
16,13,1,1,26
2,15,1,2,26
3,NA,NA,2,26
4,3,1,2,26
5,8,1,2,26
5,9,1,2,26
6,5,1,2,26
6,8,1,2,26
6,9,1,2,26
6,13,1,2,26
7,14,1,2,26
8,9,1,2,26
8,12,1,2,26
9,5,1,2,26
9,8,1,2,26
10,14,1,2,26
12,8,1,2,26
12,13,1,2,26
13,6,1,2,26
13,12,1,2,26
14,10,1,2,26
15,NA,NA,2,26
16,9,1,2,26
1,16,1,1,27
2,15,1,1,27
3,12,1,1,27
4,5,1,1,27
5,4,1,1,27
8,9,1,1,27
8,10,1,1,27
9,8,1,1,27
10,NA,NA,1,27
11,14,1,1,27
12,3,1,1,27
14,11,1,1,27
15,2,1,1,27
16,NA,NA,1,27
1,7,1,2,27
2,12,1,2,27
5,NA,NA,2,27
6,5,1,2,27
6,8,1,2,27
7,1,1,2,27
8,9,1,2,27
9,5,1,2,27
9,8,1,2,27
10,14,1,2,27
11,13,1,2,27
12,2,1,2,27
13,11,1,2,27
13,12,1,2,27
14,10,1,2,27
2,3,1,1,28
3,2,1,1,28
4,5,1,1,28
4,15,1,1,28
5,4,1,1,28
6,NA,NA,1,28
7,10,1,1,28
10,7,1,1,28
10,14,1,1,28
11,14,1,1,28
12,6,1,1,28
14,10,1,1,28
14,11,1,1,28
15,NA,NA,1,28
2,11,1,2,28
3,NA,NA,2,28
5,9,1,2,28
6,5,1,2,28
6,8,1,2,28
6,13,1,2,28
8,6,1,2,28
8,9,1,2,28
9,3,1,2,28
9,5,1,2,28
9,8,1,2,28
10,11,1,2,28
10,14,1,2,28
11,2,1,2,28
11,10,1,2,28
12,2,1,2,28
13,NA,NA,2,28
14,10,1,2,28
2,3,1,1,29
3,2,1,1,29
4,5,1,1,29
5,4,1,1,29
6,12,1,1,29
6,16,1,1,29
8,11,1,1,29
10,4,1,1,29
11,8,1,1,29
11,14,1,1,29
12,6,1,1,29
12,8,1,1,29
12,13,1,1,29
13,12,1,1,29
14,11,1,1,29
15,16,1,1,29
16,6,1,1,29
16,15,1,1,29
2,NA,NA,2,29
3,NA,NA,2,29
5,3,1,2,29
5,9,1,2,29
6,5,1,2,29
6,8,1,2,29
6,9,1,2,29
6,13,1,2,29
7,2,1,2,29
8,9,1,2,29
9,6,1,2,29
9,8,1,2,29
9,16,1,2,29
10,11,1,2,29
10,14,1,2,29
11,10,1,2,29
12,NA,NA,2,29
13,12,1,2,29
14,10,1,2,29
15,11,1,2,29
16,9,1,2,29
1,11,1,1,30
1,15,1,1,30
2,12,1,1,30
3,2,1,1,30
3,5,1,1,30
4,13,1,1,30
5,2,1,1,30
6,12,1,1,30
6,13,1,1,30
8,10,1,1,30
10,8,1,1,30
10,11,1,1,30
11,10,1,1,30
11,14,1,1,30
12,2,1,1,30
12,6,1,1,30
12,13,1,1,30
13,4,1,1,30
13,6,1,1,30
13,12,1,1,30
14,11,1,1,30
15,1,1,1,30
5,9,1,2,30
6,5,1,2,30
6,8,1,2,30
6,13,1,2,30
8,9,1,2,30
9,5,1,2,30
10,11,1,2,30
11,10,1,2,30
11,14,1,2,30
13,6,1,2,30
14,11,1,2,30
1,5,1,1,31
2,3,1,1,31
3,2,1,1,31
3,5,1,1,31
4,5,1,1,31
4,15,1,1,31
5,3,1,1,31
5,4,1,1,31
6,9,1,1,31
6,12,1,1,31
6,13,1,1,31
7,10,1,1,31
8,10,1,1,31
9,5,1,1,31
9,6,1,1,31
10,7,1,1,31
10,8,1,1,31
10,11,1,1,31
10,14,1,1,31
11,10,1,1,31
11,14,1,1,31
12,NA,NA,1,31
13,6,1,1,31
13,15,1,1,31
14,11,1,1,31
15,NA,NA,1,31
5,9,1,2,31
6,8,1,2,31
6,13,1,2,31
8,6,1,2,31
8,9,1,2,31
9,5,1,2,31
9,8,1,2,31
10,11,1,2,31
10,14,1,2,31
11,10,1,2,31
12,13,1,2,31
13,6,1,2,31
13,12,1,2,31
14,10,1,2,31
15,13,1,2,31
2,3,1,1,32
3,2,1,1,32
4,5,1,1,32
5,4,1,1,32
6,12,1,1,32
7,5,1,1,32
8,9,1,1,32
9,8,1,1,32
10,7,1,1,32
10,11,1,1,32
11,10,1,1,32
12,6,1,1,32
12,13,1,1,32
13,12,1,1,32
14,8,1,1,32
15,2,1,1,32
5,9,1,2,32
6,8,1,2,32
6,9,1,2,32
6,13,1,2,32
7,10,1,2,32
8,NA,NA,2,32
9,5,1,2,32
10,7,1,2,32
10,11,1,2,32
11,10,1,2,32
11,14,1,2,32
13,6,1,2,32
14,11,1,2,32
1,NA,NA,1,33
2,3,1,1,33
2,13,1,1,33
2,15,1,1,33
3,2,1,1,33
3,15,1,1,33
4,9,1,1,33
6,7,1,1,33
6,12,1,1,33
7,NA,NA,1,33
8,10,1,1,33
8,11,1,1,33
9,4,1,1,33
10,8,1,1,33
11,NA,NA,1,33
12,6,1,1,33
13,1,1,1,33
13,2,1,1,33
13,12,1,1,33
14,8,1,1,33
15,2,1,1,33
15,3,1,1,33
16,15,1,1,33
1,14,1,2,33
2,12,1,2,33
3,NA,NA,2,33
5,3,1,2,33
5,9,1,2,33
6,5,1,2,33
6,9,1,2,33
6,13,1,2,33
8,NA,NA,2,33
9,5,1,2,33
9,6,1,2,33
9,8,1,2,33
10,NA,NA,2,33
11,10,1,2,33
12,2,1,2,33
12,13,1,2,33
13,6,1,2,33
13,12,1,2,33
14,10,1,2,33
1,3,1,1,34
2,9,1,1,34
3,NA,NA,1,34
6,10,1,1,34
6,12,1,1,34
7,NA,NA,1,34
8,NA,NA,1,34
9,2,1,1,34
9,8,1,1,34
10,6,1,1,34
11,7,1,1,34
11,10,1,1,34
11,14,1,1,34
12,6,1,1,34
12,13,1,1,34
13,NA,NA,1,34
14,11,1,1,34
16,11,1,1,34
1,15,1,2,34
2,12,1,2,34
2,15,1,2,34
5,6,1,2,34
5,9,1,2,34
6,5,1,2,34
6,8,1,2,34
6,9,1,2,34
6,13,1,2,34
8,6,1,2,34
9,5,1,2,34
10,11,1,2,34
11,10,1,2,34
12,2,1,2,34
12,6,1,2,34
13,NA,NA,2,34
15,16,1,2,34
16,NA,NA,2,34
2,3,1,1,35
3,12,1,1,35
8,NA,NA,1,35
10,11,1,1,35
11,8,1,1,35
11,10,1,1,35
11,14,1,1,35
12,3,1,1,35
12,13,1,1,35
13,12,1,1,35
14,NA,NA,1,35
15,10,1,1,35
1,9,1,2,35
3,5,1,2,35
5,3,1,2,35
5,9,1,2,35
6,5,1,2,35
6,8,1,2,35
6,13,1,2,35
8,9,1,2,35
8,15,1,2,35
9,5,1,2,35
9,8,1,2,35
9,14,1,2,35
10,11,1,2,35
10,14,1,2,35
11,NA,NA,2,35
12,13,1,2,35
13,6,1,2,35
14,9,1,2,35
14,10,1,2,35
15,8,1,2,35
16,9,1,2,35
1,9,1,1,36
2,5,1,1,36
2,7,1,1,36
3,2,1,1,36
4,NA,NA,1,36
5,2,1,1,36
5,4,1,1,36
7,2,1,1,36
7,11,1,1,36
9,NA,NA,1,36
10,11,1,1,36
11,7,1,1,36
11,10,1,1,36
11,14,1,1,36
11,16,1,1,36
14,11,1,1,36
16,11,1,1,36
2,12,1,2,36
5,9,1,2,36
6,13,1,2,36
8,9,1,2,36
9,5,1,2,36
9,8,1,2,36
10,NA,NA,2,36
11,6,1,2,36
12,2,1,2,36
13,6,1,2,36
13,12,1,2,36
14,10,1,2,36
1,10,1,1,37
2,3,1,1,37
2,16,1,1,37
3,2,1,1,37
3,5,1,1,37
3,6,1,1,37
4,5,1,1,37
5,3,1,1,37
5,4,1,1,37
6,3,1,1,37
6,10,1,1,37
6,12,1,1,37
7,NA,NA,1,37
8,9,1,1,37
9,8,1,1,37
10,6,1,1,37
10,11,1,1,37
10,14,1,1,37
11,8,1,1,37
11,10,1,1,37
12,6,1,1,37
14,10,1,1,37
16,2,1,1,37
16,7,1,1,37
5,6,1,2,37
5,14,1,2,37
6,5,1,2,37
6,8,1,2,37
6,9,1,2,37
6,13,1,2,37
8,6,1,2,37
9,5,1,2,37
9,8,1,2,37
10,14,1,2,37
11,10,1,2,37
12,13,1,2,37
13,12,1,2,37
14,10,1,2,37
14,11,1,2,37
16,13,1,2,37
1,NA,NA,1,38
2,3,1,1,38
2,5,1,1,38
3,2,1,1,38
5,2,1,1,38
5,6,1,1,38
6,5,1,1,38
7,11,1,1,38
11,1,1,1,38
11,7,1,1,38
12,6,1,1,38
12,13,1,1,38
13,NA,NA,1,38
3,5,1,2,38
5,3,1,2,38
5,6,1,2,38
5,9,1,2,38
6,5,1,2,38
6,8,1,2,38
8,9,1,2,38
8,13,1,2,38
9,5,1,2,38
10,14,1,2,38
11,14,1,2,38
12,13,1,2,38
13,8,1,2,38
13,12,1,2,38
14,10,1,2,38
14,11,1,2,38
16,9,1,2,38
2,NA,NA,1,39
3,2,1,1,39
4,15,1,1,39
7,NA,NA,1,39
10,14,1,1,39
11,14,1,1,39
12,7,1,1,39
12,13,1,1,39
12,15,1,1,39
13,12,1,1,39
14,10,1,1,39
14,11,1,1,39
15,12,1,1,39
5,7,1,2,39
5,9,1,2,39
6,8,1,2,39
6,9,1,2,39
6,13,1,2,39
7,5,1,2,39
8,9,1,2,39
9,5,1,2,39
9,6,1,2,39
9,8,1,2,39
10,11,1,2,39
11,10,1,2,39
11,14,1,2,39
13,6,1,2,39
14,11,1,2,39
2,13,1,1,40
6,NA,NA,1,40
7,10,1,1,40
9,13,1,1,40
10,7,1,1,40
11,NA,NA,1,40
12,6,1,1,40
12,13,1,1,40
13,2,1,1,40
13,12,1,1,40
14,11,1,1,40
15,16,1,1,40
16,15,1,1,40
3,5,1,2,40
5,3,1,2,40
5,9,1,2,40
6,NA,NA,2,40
8,9,1,2,40
9,5,1,2,40
9,8,1,2,40
10,11,1,2,40
11,NA,NA,2,40
12,13,1,2,40
13,6,1,2,40
13,12,1,2,40
2,3,1,1,41
2,12,1,1,41
3,2,1,1,41
4,5,1,1,41
5,2,1,1,41
5,4,1,1,41
6,12,1,1,41
6,13,1,1,41
7,10,1,1,41
7,16,1,1,41
10,7,1,1,41
11,7,1,1,41
11,10,1,1,41
11,14,1,1,41
12,2,1,1,41
12,6,1,1,41
13,6,1,1,41
14,11,1,1,41
15,14,1,1,41
16,7,1,1,41
16,14,1,1,41
1,10,1,2,41
4,10,1,2,41
5,9,1,2,41
6,8,1,2,41
8,6,1,2,41
8,14,1,2,41
9,5,1,2,41
9,8,1,2,41
10,14,1,2,41
12,13,1,2,41
13,12,1,2,41
14,8,1,2,41
14,10,1,2,41
14,12,1,2,41
2,3,1,1,42
2,13,1,1,42
3,2,1,1,42
3,12,1,1,42
3,15,1,1,42
4,5,1,1,42
4,14,1,1,42
5,4,1,1,42
6,NA,NA,1,42
8,9,1,1,42
9,8,1,1,42
10,6,1,1,42
12,13,1,1,42
13,2,1,1,42
13,12,1,1,42
13,15,1,1,42
14,2,1,1,42
15,3,1,1,42
1,NA,NA,2,42
